"team","vegas_proj_wins","date"
"Atlanta Hawks",43.8333333333333,2025-10-29
"Atlanta Hawks",42.5,2025-10-30
"Atlanta Hawks",42.5,2025-10-31
"Atlanta Hawks",42.5,2025-11-01
"Atlanta Hawks",42,2025-11-02
"Atlanta Hawks",41.8333333333333,2025-11-03
"Atlanta Hawks",41.8333333333333,2025-11-04
"Atlanta Hawks",41.5,2025-11-05
"Atlanta Hawks",41.5,2025-11-06
"Atlanta Hawks",41.5,2025-11-07
"Atlanta Hawks",43,2025-11-08
"Atlanta Hawks",42.5,2025-11-09
"Atlanta Hawks",42.6666666666667,2025-11-10
"Atlanta Hawks",43.6666666666667,2025-11-11
"Atlanta Hawks",43.6666666666667,2025-11-12
"Atlanta Hawks",44.1666666666667,2025-11-13
"Atlanta Hawks",45.5,2025-11-14
"Atlanta Hawks",46,2025-11-15
"Atlanta Hawks",46,2025-11-16
"Atlanta Hawks",47,2025-11-17
"Atlanta Hawks",46.75,2025-11-18
"Atlanta Hawks",46.625,2025-11-19
"Atlanta Hawks",46.625,2025-11-20
"Atlanta Hawks",46.625,2025-11-21
"Atlanta Hawks",46.5,2025-11-22
"Atlanta Hawks",46.5,2025-11-23
"Atlanta Hawks",47.25,2025-11-24
"Atlanta Hawks",47.25,2025-11-25
"Atlanta Hawks",47.25,2025-11-26
"Boston Celtics",42.125,2025-10-29
"Boston Celtics",42.125,2025-10-30
"Boston Celtics",40,2025-10-31
"Boston Celtics",43.5,2025-11-01
"Boston Celtics",42.5,2025-11-02
"Boston Celtics",42.5,2025-11-03
"Boston Celtics",41.5,2025-11-04
"Boston Celtics",41.5,2025-11-05
"Boston Celtics",42.875,2025-11-06
"Boston Celtics",42.875,2025-11-07
"Boston Celtics",41.75,2025-11-08
"Boston Celtics",41.75,2025-11-09
"Boston Celtics",42.8333333333333,2025-11-10
"Boston Celtics",43,2025-11-11
"Boston Celtics",41.5,2025-11-12
"Boston Celtics",41.5,2025-11-13
"Boston Celtics",42.6666666666667,2025-11-14
"Boston Celtics",42.25,2025-11-15
"Boston Celtics",42.25,2025-11-16
"Boston Celtics",42.5,2025-11-17
"Boston Celtics",42.5,2025-11-18
"Boston Celtics",42.75,2025-11-19
"Boston Celtics",42.75,2025-11-20
"Boston Celtics",42.625,2025-11-21
"Boston Celtics",42.625,2025-11-22
"Boston Celtics",42,2025-11-23
"Boston Celtics",41.5,2025-11-24
"Boston Celtics",41.5,2025-11-25
"Boston Celtics",41.5,2025-11-26
"Brooklyn Nets",17.5,2025-10-29
"Brooklyn Nets",17.5,2025-10-30
"Brooklyn Nets",17.5,2025-10-31
"Brooklyn Nets",17.5,2025-11-01
"Brooklyn Nets",17.5,2025-11-02
"Brooklyn Nets",16.6666666666667,2025-11-03
"Brooklyn Nets",16.5,2025-11-04
"Brooklyn Nets",16.5,2025-11-05
"Brooklyn Nets",17.5,2025-11-06
"Brooklyn Nets",17.5,2025-11-07
"Brooklyn Nets",16.5,2025-11-08
"Brooklyn Nets",16.5,2025-11-09
"Brooklyn Nets",16.5,2025-11-10
"Brooklyn Nets",16.5,2025-11-11
"Brooklyn Nets",15.6666666666667,2025-11-12
"Brooklyn Nets",15.3333333333333,2025-11-13
"Brooklyn Nets",15.5,2025-11-14
"Brooklyn Nets",15.5,2025-11-15
"Brooklyn Nets",15.5,2025-11-16
"Brooklyn Nets",16.5,2025-11-17
"Brooklyn Nets",16.5,2025-11-18
"Brooklyn Nets",16,2025-11-19
"Brooklyn Nets",15.6666666666667,2025-11-20
"Brooklyn Nets",15.6666666666667,2025-11-21
"Brooklyn Nets",15.6666666666667,2025-11-22
"Brooklyn Nets",16.5,2025-11-23
"Brooklyn Nets",16.5,2025-11-24
"Brooklyn Nets",16,2025-11-25
"Brooklyn Nets",15.75,2025-11-26
"Charlotte Hornets",30.6666666666667,2025-10-29
"Charlotte Hornets",31,2025-10-30
"Charlotte Hornets",31,2025-10-31
"Charlotte Hornets",31.25,2025-11-01
"Charlotte Hornets",31.5,2025-11-02
"Charlotte Hornets",31.5,2025-11-03
"Charlotte Hornets",31.5,2025-11-04
"Charlotte Hornets",30,2025-11-05
"Charlotte Hornets",30,2025-11-06
"Charlotte Hornets",30.5,2025-11-07
"Charlotte Hornets",28.75,2025-11-08
"Charlotte Hornets",28.25,2025-11-09
"Charlotte Hornets",28.3333333333333,2025-11-10
"Charlotte Hornets",27.5,2025-11-11
"Charlotte Hornets",27.5,2025-11-12
"Charlotte Hornets",28.3333333333333,2025-11-13
"Charlotte Hornets",28.3333333333333,2025-11-14
"Charlotte Hornets",28.5,2025-11-15
"Charlotte Hornets",28.5,2025-11-16
"Charlotte Hornets",28.5,2025-11-17
"Charlotte Hornets",27.75,2025-11-18
"Charlotte Hornets",27.375,2025-11-19
"Charlotte Hornets",27.375,2025-11-20
"Charlotte Hornets",27.375,2025-11-21
"Charlotte Hornets",27.375,2025-11-22
"Charlotte Hornets",26.5,2025-11-23
"Charlotte Hornets",26.5,2025-11-24
"Charlotte Hornets",26.5,2025-11-25
